lead_id,tier,nome_publico,handle,canal_primario,url_contato,canal_secundario,tipo_audiencia,por_que_esse,status_verificacao,prioridade,mensagem
INF001,1,RAFAELE MONTEIRO — Afiliado Shopee Expert,eurafaelemonteiro,Instagram DM,https://www.instagram.com/eurafaelemonteiro/,link da bio (mentoria),afiliados iniciantes (declara mentoria de milhares de mulheres),Audiencia = exatamente nosso ICP; publico de mentoria ja paga por ferramenta,handle_confirmado_alcance_nao_verificado,alta,MSG-A
INF002,1,Alex Coelho — Afiliado Shopee Profissional,lexcoelho,Instagram DM,https://www.instagram.com/lexcoelho/,link da bio (metodo Lucrando com a Shopee),alunos de metodo pago de afiliacao Shopee,Base de alunos = lista quente; ferramenta complementa o metodo dele,handle_confirmado_alcance_nao_verificado,alta,MSG-A
INF003,1,Artur Rampazio — Mentoria Shopee,arturrampazio,Instagram DM,https://www.instagram.com/arturrampazio/,link da bio (mentoria/assessoria),mentorados individuais e em grupo de Shopee,Mentoria individual = alta influencia por pessoa; indicacao dele tem peso,handle_confirmado_alcance_nao_verificado,alta,MSG-A
INF004,1,MTA — Mentoria Top Afiliados,mentoria.top.afiliados,Instagram DM,https://www.instagram.com/mentoria.top.afiliados/,link da bio,afiliados em formacao,Perfil dedicado a formar afiliado; ferramenta e o proximo passo natural,handle_confirmado_alcance_nao_verificado,media,MSG-A
INF005,1,Wesley Ernani,wesleyernani,Threads,https://www.threads.com/@wesleyernani,Instagram mesmo handle,afiliados Shopee (defende mentoria personalizada),Fala publicamente sobre metodo de afiliado; critico de curso ruim = credibilidade,handle_confirmado_alcance_nao_verificado,media,MSG-A
INF006,1,Achadinhos e Garimpos,achadinhosegariimpos_,Threads,https://www.threads.com/@achadinhosegariimpos_,Instagram mesmo handle,afiliados buscando curso/ferramenta,Postou pedindo recomendacao de curso de afiliado — publico em momento de compra,handle_confirmado_alcance_nao_verificado,media,MSG-B
INF007,1,Shopee em Videos,shopeemvideos,Threads,https://www.threads.com/@shopeemvideos,grupo gratuito proprio,afiliados Shopee que querem divulgar melhor,Ja opera comunidade gratuita de afiliados = distribuicao pronta,handle_confirmado_alcance_nao_verificado,media,MSG-B
INF008,1,Videos da Shopee Gratis,videosdashopeegratis,Telegram,https://t.me/videosdashopeegratis,-,afiliados Shopee,Canal Telegram com material para afiliado; dono e um agregador natural,canal_publico_confirmado,media,MSG-B
INF009,2,Matriz de Ofertas,matrizdeofertas,Instagram DM,https://www.instagram.com/matrizdeofertas/,https://linktr.ee/matrizdeofertas,curadoria multicanal (WhatsApp+Telegram+Facebook),Operacao multicanal grande = cliente E divulgador; fit_score 98 no lote anterior,linktree_verificado_2026-05,alta,MSG-C
INF010,2,Time de Ofertas Oficial,timedeofertasoficial,Instagram DM,https://www.instagram.com/timedeofertasoficial/,https://linktr.ee/timedeofertasoficial,mega comunidade de ofertas,Base declarada grande; dor de escala e exatamente o que o robo resolve,linktree_verificado_2026-05,alta,MSG-C
INF011,2,PromoShot VIP,promoshotvip,Instagram DM,https://www.instagram.com/promoshotvip/,https://linktr.ee/promoshotvip,multiplos grupos WhatsApp e Telegram,Muitos grupos = dor de copia-e-cola aguda; caso de uso ideal para depoimento,linktree_verificado_2026-05,alta,MSG-C
INF012,2,Corre e Aproveita,corre_e_aproveita,Instagram DM,https://www.instagram.com/corre_e_aproveita/,https://linktr.ee/corre_e_aproveitaa,marketplaces em geral,fit_score 93; opera varios marketplaces (Shopee+ML+Amazon),linktree_verificado_2026-05,media,MSG-C
INF013,2,Achado na Promo BR,achadonapromo.br,Instagram DM,https://www.instagram.com/achadonapromo.br/,https://linktr.ee/achadonapromo.br,promocoes multicanal,fit_score 92; multicanal,linktree_verificado_2026-05,media,MSG-C
INF014,2,Shopeeando,shopeeando_,Instagram DM,https://www.instagram.com/shopeeando_/,https://linktr.ee/shopeeando_,marketplaces geral com foco Shopee,fit_score 90; Shopee e o marketplace #1 no Trends,linktree_verificado_2026-05,media,MSG-C
INF015,2,HG Best Choice,hgbestchoice,Instagram DM,https://www.instagram.com/hgbestchoice/,https://linktr.ee/hgbestchoice,ofertas verificadas,fit_score 91; posicionamento de curadoria confiavel combina com a marca,linktree_verificado_2026-05,media,MSG-C
INF016,2,Mago dos 10 Contos,magodos10contos,Instagram DM,https://www.instagram.com/magodos10contos/,https://linktr.ee/magodos10contos,descontos multicanal,fit_score 86; identidade de marca forte = bom parceiro de conteudo,linktree_verificado_2026-05,baixa,MSG-C
INF017,2,Olho no Desconto,Olhonodesconto,Instagram DM,https://www.instagram.com/Olhonodesconto/,https://linktr.ee/olhonodesconto,marketplaces geral,fit_score 88,linktree_verificado_2026-05,baixa,MSG-C
INF018,2,Compre Livros com Desconto,comprelivroscomdesconto,Instagram DM,https://www.instagram.com/comprelivroscomdesconto/,https://linktr.ee/CLCD,livros e ofertas gerais,fit_score 90; nicho definido = audiencia fiel,linktree_verificado_2026-05,baixa,MSG-C
INF019,2,Click Ofertas Business,clickofertasbusiness,Instagram DM,https://www.instagram.com/clickofertasbusiness/,https://linktr.ee/clickofertasbusiness,comunidade WhatsApp + marketplaces,fit_score 90; nome "business" sugere operacao profissional,linktree_verificado_2026-05,media,MSG-C
INF020,2,Galleano Ofertas,galleanoofertas,Instagram DM,https://www.instagram.com/galleanoofertas/,https://linktr.ee/galleano,afiliados multicanal (WhatsApp+Telegram+Facebook+site),fit_score 90; ja opera site proprio = perfil mais tecnico,linktree_verificado_2026-05,media,MSG-C
