lead_id,nome_conta,tipo_parceiro,nicho,regiao,canal_publico,source_url,source_type,fit_score,segmento_abc,crm_stage,owner,status_outreach,gancho_personalizado,mensagem_seq1,utm_source,utm_medium,utm_campaign,proxima_acao
P001,achadosdahemily,admin_curador_ofertas,curadoria_ofertas,nacional,Linktree/Instagram/WhatsApp/Telegram,https://linktr.ee/achadosdahemily,public_seed_verified,92,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Grupo de ofertas no WhatsApp e Telegram; foco em promoções, cupons e descontos.","Oi, achadosdahemily! Vi que vocês já curam ofertas (Grupo de ofertas no WhatsApp e Telegram; foco em promoções, cupons e descontos.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-achadosdahemily,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P002,matrizdeofertas,admin_curador_ofertas,multi_nicho_afiliados,nacional,Linktree/Instagram/WhatsApp/Telegram,https://linktr.ee/matrizdeofertas,public_seed_verified,96,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Central de promoções, descontos, ofertas e cupons com WhatsApp, Telegram e catálogo amplo de parceiros.","Oi, matrizdeofertas! Vi que vocês já curam ofertas (Central de promoções, descontos, ofertas e cupons com WhatsApp, Telegram e catálogo amplo de parceiros.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-matrizdeofertas,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P003,gpdeofertas,admin_curador_ofertas,grupo_ofertas,nacional,Linktree/WhatsApp/Telegram,https://linktr.ee/gpdeofertas,public_seed_verified,90,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Grupo de ofertas com canais WhatsApp, Telegram e redes sociais.","Oi, gpdeofertas! Vi que vocês já curam ofertas (Grupo de ofertas com canais WhatsApp, Telegram e redes sociais.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-gpdeofertas,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P004,clickofertasbusiness,admin_curador_ofertas,ofertas_e_marketplace,nacional,Linktree/WhatsApp/Instagram/Facebook,https://linktr.ee/clickofertasbusiness,public_seed_verified,89,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,Comunidade de ofertas reais no WhatsApp com presença em Mercado Livre e Shopee.,"Oi, clickofertasbusiness! Vi que vocês já curam ofertas (Comunidade de ofertas reais no WhatsApp com presença em Mercado Livre e Shopee.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-clickofertasbusiness,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P005,PECHINCHAQUI,admin_curador_ofertas,ofertas_whatsapp,regional_ddd49,Linktree/WhatsApp/Instagram,https://linktr.ee/pechinchaqui,public_seed_verified,86,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,Grupo de ofertas no WhatsApp com comunidade identificada como 49.,"Oi, PECHINCHAQUI! Vi que vocês já curam ofertas (Grupo de ofertas no WhatsApp com comunidade identificada como 49.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-pechinchaqui,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P006,melhoresodasho,admin_curador_ofertas,shopee_cupons,nacional,Linktree/WhatsApp/Instagram/TikTok,https://linktr.ee/melhoresodasho,public_seed_verified,93,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Grupo secreto de ofertas, bugs e cupons da Shopee.","Oi, melhoresodasho! Vi que vocês já curam ofertas (Grupo secreto de ofertas, bugs e cupons da Shopee.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-melhoresodasho,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P007,promoshotvip,admin_curador_ofertas,cupons_promocoes,nacional,Linktree/WhatsApp/Telegram/Instagram,https://linktr.ee/promoshotvip,public_seed_verified,94,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Cupons, descontos e promoções em tempo real com múltiplos grupos WhatsApp.","Oi, promoshotvip! Vi que vocês já curam ofertas (Cupons, descontos e promoções em tempo real com múltiplos grupos WhatsApp.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-promoshotvip,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P008,Grupo de Ofertas Central,admin_curador_ofertas,grupo_ofertas,nacional,Linktree/WhatsApp/Instagram,https://linktr.ee/grupodeofertascentral,public_seed_verified,88,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,Grupo de ofertas com promoções exclusivas e novidades diárias.,"Oi, Grupo de Ofertas Central! Vi que vocês já curam ofertas (Grupo de ofertas com promoções exclusivas e novidades diárias.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-grupo-de-ofertas-central,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P009,promoebugs,admin_curador_ofertas,promocoes_e_bugs,nacional,Linktree/WhatsApp,https://linktr.ee/promoebugs,public_seed_verified,87,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,Grupo de promoções e ofertas diárias com comunidade WhatsApp.,"Oi, promoebugs! Vi que vocês já curam ofertas (Grupo de promoções e ofertas diárias com comunidade WhatsApp.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-promoebugs,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P010,timedeofertasoficial,admin_curador_ofertas,mega_comunidade_ofertas,nacional,Linktree/WhatsApp,https://linktr.ee/timedeofertasoficial,public_seed_verified,95,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,Grupo no WhatsApp com grande base pública declarada.,"Oi, timedeofertasoficial! Vi que vocês já curam ofertas (Grupo no WhatsApp com grande base pública declarada.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-timedeofertasoficial,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
