lead_id,nome_conta,segmento_abc,canal_publico,source_url,status_envio,mensagem_seq1,tracking_url,observacao
P001,achadosdahemily,A,Linktree/Instagram/WhatsApp/Telegram,https://linktr.ee/achadosdahemily,pronto_para_envio_manual_crm,"Oi, achadosdahemily! Vi que vocês já curam ofertas (Grupo de ofertas no WhatsApp e Telegram; foco em promoções, cupons e descontos.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-achadosdahemily&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P002,matrizdeofertas,A,Linktree/Instagram/WhatsApp/Telegram,https://linktr.ee/matrizdeofertas,pronto_para_envio_manual_crm,"Oi, matrizdeofertas! Vi que vocês já curam ofertas (Central de promoções, descontos, ofertas e cupons com WhatsApp, Telegram e catálogo amplo de parceiros.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-matrizdeofertas&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P003,gpdeofertas,A,Linktree/WhatsApp/Telegram,https://linktr.ee/gpdeofertas,pronto_para_envio_manual_crm,"Oi, gpdeofertas! Vi que vocês já curam ofertas (Grupo de ofertas com canais WhatsApp, Telegram e redes sociais.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-gpdeofertas&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P004,clickofertasbusiness,A,Linktree/WhatsApp/Instagram/Facebook,https://linktr.ee/clickofertasbusiness,pronto_para_envio_manual_crm,"Oi, clickofertasbusiness! Vi que vocês já curam ofertas (Comunidade de ofertas reais no WhatsApp com presença em Mercado Livre e Shopee.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-clickofertasbusiness&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P005,PECHINCHAQUI,A,Linktree/WhatsApp/Instagram,https://linktr.ee/pechinchaqui,pronto_para_envio_manual_crm,"Oi, PECHINCHAQUI! Vi que vocês já curam ofertas (Grupo de ofertas no WhatsApp com comunidade identificada como 49.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-pechinchaqui&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P006,melhoresodasho,A,Linktree/WhatsApp/Instagram/TikTok,https://linktr.ee/melhoresodasho,pronto_para_envio_manual_crm,"Oi, melhoresodasho! Vi que vocês já curam ofertas (Grupo secreto de ofertas, bugs e cupons da Shopee.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-melhoresodasho&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P007,promoshotvip,A,Linktree/WhatsApp/Telegram/Instagram,https://linktr.ee/promoshotvip,pronto_para_envio_manual_crm,"Oi, promoshotvip! Vi que vocês já curam ofertas (Cupons, descontos e promoções em tempo real com múltiplos grupos WhatsApp.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-promoshotvip&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P008,Grupo de Ofertas Central,A,Linktree/WhatsApp/Instagram,https://linktr.ee/grupodeofertascentral,pronto_para_envio_manual_crm,"Oi, Grupo de Ofertas Central! Vi que vocês já curam ofertas (Grupo de ofertas com promoções exclusivas e novidades diárias.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-grupo-de-ofertas-central&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P009,promoebugs,A,Linktree/WhatsApp,https://linktr.ee/promoebugs,pronto_para_envio_manual_crm,"Oi, promoebugs! Vi que vocês já curam ofertas (Grupo de promoções e ofertas diárias com comunidade WhatsApp.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-promoebugs&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P010,timedeofertasoficial,A,Linktree/WhatsApp,https://linktr.ee/timedeofertasoficial,pronto_para_envio_manual_crm,"Oi, timedeofertasoficial! Vi que vocês já curam ofertas (Grupo no WhatsApp com grande base pública declarada.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-timedeofertasoficial&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
P011,galleanoofertas,A,Linktree/WhatsApp/Telegram/Facebook,https://linktr.ee/galleano,pronto_para_envio_manual_crm,"Oi, galleanoofertas! Vi que vocês já curam ofertas (Grupo de ofertas em WhatsApp, Telegram, Facebook e site Magalu.). O wabot ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",https://espelhagrupos.com.br/promo-vip-7dias?utm_source=parceiro-galleanoofertas&utm_medium=affiliate-outreach&utm_campaign=launch-wabot-2026q2&utm_content=seq1-dia8,Fonte pública verificada; envio real depende de credencial CRM/WhatsApp/Email não presente no repositório.
