prioridade,tipo,keyword_long_tail,slug_sugerido,intencao,score
1,cidade,espelhar grupos whatsapp sao paulo,espelhar-grupos-whatsapp-sao-paulo,transacional,94
2,cidade,espelhar grupos whatsapp rio de janeiro,espelhar-grupos-whatsapp-rio-de-janeiro,transacional,93
3,cidade,espelhar grupos whatsapp belo horizonte,espelhar-grupos-whatsapp-belo-horizonte,transacional,92
4,cidade,espelhar grupos whatsapp curitiba,espelhar-grupos-whatsapp-curitiba,transacional,91
5,cidade,espelhar grupos whatsapp porto alegre,espelhar-grupos-whatsapp-porto-alegre,transacional,90
6,cidade,espelhar grupos whatsapp recife,espelhar-grupos-whatsapp-recife,transacional,89
7,cidade,espelhar grupos whatsapp salvador,espelhar-grupos-whatsapp-salvador,transacional,89
8,cidade,espelhar grupos whatsapp fortaleza,espelhar-grupos-whatsapp-fortaleza,transacional,88
9,cidade,espelhar grupos whatsapp brasilia,espelhar-grupos-whatsapp-brasilia,transacional,88
10,cidade,espelhar grupos whatsapp goiania,espelhar-grupos-whatsapp-goiania,transacional,87
11,cidade,espelhar grupos whatsapp campinas,espelhar-grupos-whatsapp-campinas,transacional,87
12,cidade,espelhar grupos whatsapp manaus,espelhar-grupos-whatsapp-manaus,transacional,86
13,cidade,espelhar grupos whatsapp belem,espelhar-grupos-whatsapp-belem,transacional,86
14,cidade,espelhar grupos whatsapp florianopolis,espelhar-grupos-whatsapp-florianopolis,transacional,85
15,cidade,espelhar grupos whatsapp vitoria,espelhar-grupos-whatsapp-vitoria,transacional,85
16,nicho,bot ofertas supermercado whatsapp,bot-ofertas-supermercado-whatsapp,comercial,90
17,nicho,bot ofertas farmacia whatsapp,bot-ofertas-farmacia-whatsapp,comercial,90
18,nicho,bot ofertas eletronicos whatsapp,bot-ofertas-eletronicos-whatsapp,comercial,89
19,nicho,bot ofertas moda whatsapp,bot-ofertas-moda-whatsapp,comercial,88
20,nicho,bot ofertas beleza whatsapp,bot-ofertas-beleza-whatsapp,comercial,87
21,nicho,bot ofertas pet shop whatsapp,bot-ofertas-pet-shop-whatsapp,comercial,87
22,nicho,bot ofertas turismo whatsapp,bot-ofertas-turismo-whatsapp,comercial,86
23,nicho,bot ofertas restaurantes whatsapp,bot-ofertas-restaurantes-whatsapp,comercial,86
24,nicho,bot ofertas autopecas whatsapp,bot-ofertas-autopecas-whatsapp,comercial,85
25,nicho,bot ofertas cursos whatsapp,bot-ofertas-cursos-whatsapp,comercial,85
26,nicho,bot ofertas infoprodutos whatsapp,bot-ofertas-infoprodutos-whatsapp,comercial,84
27,nicho,bot ofertas marketplace whatsapp,bot-ofertas-marketplace-whatsapp,comercial,84
28,nicho,bot ofertas afiliados whatsapp,bot-ofertas-afiliados-whatsapp,comercial,84
29,nicho,bot ofertas atacado whatsapp,bot-ofertas-atacado-whatsapp,comercial,83
30,nicho,bot ofertas varejo local whatsapp,bot-ofertas-varejo-local-whatsapp,comercial,83
31,dor,como automatizar divulgacao em grupos whatsapp,automatizar-divulgacao-em-grupos-whatsapp,informacional-comercial,92
32,dor,como escalar grupos de ofertas sem equipe,escalar-grupos-ofertas-sem-equipe,informacional-comercial,91
33,dor,como postar em varios grupos whatsapp ao mesmo tempo,postar-em-varios-grupos-whatsapp-ao-mesmo-tempo,informacional-comercial,91
34,dor,como padronizar divulgacao de afiliado no whatsapp,padronizar-divulgacao-afiliado-whatsapp,informacional-comercial,90
35,dor,como aumentar conversao em grupos de cupons,aumentar-conversao-em-grupos-de-cupons,informacional-comercial,90
36,dor,como manter consistencia de postagens em grupos,consistencia-postagens-em-grupos,informacional-comercial,89
37,dor,como reduzir tempo operacional em grupos whatsapp,reduzir-tempo-operacional-em-grupos-whatsapp,informacional-comercial,89
38,dor,como organizar calendario de ofertas no whatsapp,organizar-calendario-de-ofertas-no-whatsapp,informacional-comercial,88
39,dor,como melhorar alcance em grupos de promocoes,melhorar-alcance-em-grupos-de-promocoes,informacional-comercial,88
40,dor,como rastrear resultados de divulgacao em grupos,rastrear-resultados-de-divulgacao-em-grupos,informacional-comercial,87
41,dor,como fazer onboarding rapido de operacao de grupos,onboarding-rapido-operacao-de-grupos,informacional-comercial,87
42,dor,como evitar falhas de rotina em divulgacao whatsapp,evitar-falhas-de-rotina-em-divulgacao-whatsapp,informacional-comercial,86
43,dor,como centralizar links de oferta para grupos,centralizar-links-de-oferta-para-grupos,informacional-comercial,86
44,dor,como automatizar republicacao de ofertas,automatizar-republicacao-de-ofertas,informacional-comercial,86
45,dor,como estruturar funil de afiliados em grupos,estruturar-funil-de-afiliados-em-grupos,informacional-comercial,85
46,dor,como criar processo de divulgacao escalavel,processo-de-divulgacao-escalavel,informacional-comercial,85
47,dor,como medir roi de grupos de whatsapp,medir-roi-de-grupos-de-whatsapp,informacional-comercial,84
48,dor,como transformar grupos em canal previsivel,transformar-grupos-em-canal-previsivel,informacional-comercial,84
49,dor,como aumentar produtividade de admin de grupos,aumentar-produtividade-de-admin-de-grupos,informacional-comercial,83
50,dor,como ativar primeiros resultados com bot de grupos,ativar-primeiros-resultados-com-bot-de-grupos,informacional-comercial,83
