lead_id,instagram_handle,instagram_url,nome_publico,nicho,regiao,source_url,source_type,fit_score,segmento_abc,crm_stage,owner,status_outreach,gancho_personalizado,mensagem_dm_seq1,utm_source,utm_medium,utm_campaign,proxima_acao
IG001,achadosdahemily,https://www.instagram.com/achadosdahemily/,achadosdahemily,curadoria_ofertas,nacional,https://linktr.ee/achadosdahemily,verified_public_linktree,96,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Achados incríveis, preços imbatíveis; Linktree informa Instagram, WhatsApp, Telegram e promoções/cupons/descontos.","Oi, @achadosdahemily! Vi seu perfil de ofertas no Instagram (Achados incríveis, preços imbatíveis; Linktree informa Instagram, WhatsApp, Telegram e promoções/cupons/descontos.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-achadosdahemily,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG002,matrizdeofertas,https://www.instagram.com/matrizdeofertas/,matrizdeofertas,multi_nicho_afiliados,nacional,https://linktr.ee/matrizdeofertas,verified_public_linktree,98,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Central de promoções, descontos, ofertas e cupons com Instagram, WhatsApp, Telegram, Facebook e muitos links afiliados.","Oi, @matrizdeofertas! Vi seu perfil de ofertas no Instagram (Central de promoções, descontos, ofertas e cupons com Instagram, WhatsApp, Telegram, Facebook e muitos links afiliados.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-matrizdeofertas,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG003,gpdeofertas,https://www.instagram.com/gpdeofertas/,gpdeofertas,grupo_ofertas,nacional,https://linktr.ee/gpdeofertas,verified_public_linktree,91,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Grupo de ofertas com Instagram, WhatsApp e Telegram; promete ofertas exclusivas todos os dias.","Oi, @gpdeofertas! Vi seu perfil de ofertas no Instagram (Grupo de ofertas com Instagram, WhatsApp e Telegram; promete ofertas exclusivas todos os dias.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-gpdeofertas,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG004,promoshotvip,https://www.instagram.com/promoshotvip/,promoshotvip,cupons_promocoes,nacional,https://linktr.ee/promoshotvip,verified_public_linktree,96,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Cupom, descontos, promoções e ofertas em tempo real; Linktree lista Instagram, Telegram, Facebook e grupos WhatsApp.","Oi, @promoshotvip! Vi seu perfil de ofertas no Instagram (Cupom, descontos, promoções e ofertas em tempo real; Linktree lista Instagram, Telegram, Facebook e grupos WhatsApp.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-promoshotvip,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG005,clickofertasbusiness,https://www.instagram.com/clickofertasbusiness/,clickofertasbusiness,ofertas_marketplaces,nacional,https://linktr.ee/clickofertasbusiness,verified_public_linktree,90,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,Grupos WhatsApp para ofertas reais; Linktree lista Instagram e lojas Mercado Livre/Shopee.,"Oi, @clickofertasbusiness! Vi seu perfil de ofertas no Instagram (Grupos WhatsApp para ofertas reais; Linktree lista Instagram e lojas Mercado Livre/Shopee.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-clickofertasbusiness,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG006,melhoresodasho,https://www.instagram.com/melhoresodasho/,melhoresodasho,shopee_cupons,nacional,https://linktr.ee/melhoresodasho,verified_public_linktree,94,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Grupo secreto de ofertas, bugs e cupons da Shopee; Linktree lista WhatsApp, Instagram e TikTok.","Oi, @melhoresodasho! Vi seu perfil de ofertas no Instagram (Grupo secreto de ofertas, bugs e cupons da Shopee; Linktree lista WhatsApp, Instagram e TikTok.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-melhoresodasho,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG007,grupodeofertascentral,https://www.instagram.com/grupodeofertascentral/,grupodeofertascentral,grupo_ofertas,nacional,https://linktr.ee/grupodeofertascentral,verified_public_linktree,89,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Grupo de Ofertas Central com Instagram e WhatsApp; promoções exclusivas, preços e novidades diárias.","Oi, @grupodeofertascentral! Vi seu perfil de ofertas no Instagram (Grupo de Ofertas Central com Instagram e WhatsApp; promoções exclusivas, preços e novidades diárias.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-grupodeofertascentral,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG008,promoebugs,https://www.instagram.com/promoebugs/,promoebugs,promocoes_e_bugs,nacional,https://linktr.ee/promoebugs,verified_public_linktree,86,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,Grupo de promoções e ofertas diárias com comunidade WhatsApp.,"Oi, @promoebugs! Vi seu perfil de ofertas no Instagram (Grupo de promoções e ofertas diárias com comunidade WhatsApp.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-promoebugs,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG009,timedeofertasoficial,https://www.instagram.com/timedeofertasoficial/,timedeofertasoficial,mega_comunidade_ofertas,nacional,https://linktr.ee/timedeofertasoficial,verified_public_linktree,92,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,Grupo WhatsApp de ofertas com grande base pública declarada no lote anterior.,"Oi, @timedeofertasoficial! Vi seu perfil de ofertas no Instagram (Grupo WhatsApp de ofertas com grande base pública declarada no lote anterior.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-timedeofertasoficial,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
IG010,galleanoofertas,https://www.instagram.com/galleanoofertas/,galleanoofertas,afiliados_multicanal,nacional,https://linktr.ee/galleano,verified_public_linktree,90,A,Instagram Partner Lead,sdr,seq1_instagram_pronta,"Grupo de ofertas com WhatsApp, Telegram, Facebook e Magazine Luiza.","Oi, @galleanoofertas! Vi seu perfil de ofertas no Instagram (Grupo de ofertas com WhatsApp, Telegram, Facebook e Magazine Luiza.). O BOTinho ajuda curadores a replicar links em grupos de WhatsApp/Telegram com menos copia-e-cola, padrão de copy e logs de envio. Topa um piloto guiado de 7 dias em poucos grupos?",instagram-galleanoofertas,instagram-dm-outreach,launch-botinho-2026q2,validar_direct_e_enviar_seq1
